Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,7.500000,7.960000,7.200000,7.350000,7.350000,72000
2021-01-06,7.500000,7.600000,6.400000,6.710000,6.710000,95400
2021-01-07,6.720000,7.500000,6.400000,7.070000,7.070000,76200
2021-01-08,7.470000,7.470000,6.600000,6.930000,6.930000,55400
2021-01-11,7.140000,7.450000,6.930000,7.350000,7.350000,50000
2021-01-12,7.350000,7.820000,7.160000,7.500000,7.500000,32900
2021-01-13,7.500000,7.820000,6.780000,7.100000,7.100000,87300
2021-01-14,7.090000,7.460000,6.500000,6.930000,6.930000,80400
2021-01-15,6.850000,7.040000,6.480000,6.650000,6.650000,91700
2021-01-19,6.950000,6.950000,6.550000,6.800000,6.800000,82400
2021-01-20,6.700000,7.050000,6.600000,7.040000,7.040000,72300
2021-01-21,6.900000,6.900000,6.590000,6.620000,6.620000,87000
2021-01-22,6.530000,6.900000,6.300000,6.890000,6.890000,51900
2021-01-25,6.890000,7.000000,6.800000,7.000000,7.000000,58600
2021-01-26,7.000000,7.000000,6.600000,6.760000,6.760000,86900
2021-01-27,6.600000,6.760000,6.400000,6.550000,6.550000,113600
2021-01-28,6.400000,6.690000,6.360000,6.490000,6.490000,43400
