Date,Open,High,Low,Close,Adj Close,Volume
2020-05-28,4.700000,4.700000,4.700000,4.700000,4.700000,100
2020-05-29,4.700000,4.700000,4.700000,4.700000,4.700000,0
2020-06-01,9.630000,9.660000,9.630000,9.660000,9.660000,2000
2020-06-02,9.650000,9.660000,9.650000,9.660000,9.660000,600200
2020-06-03,9.720000,9.720000,9.630000,9.630000,9.630000,1100
2020-06-04,9.750000,9.790000,9.740000,9.740000,9.740000,6200
2020-06-05,9.750000,9.750000,9.750000,9.750000,9.750000,300
2020-06-08,9.780000,9.790000,9.718000,9.718000,9.718000,500
2020-06-09,9.720000,9.720000,9.720000,9.720000,9.720000,300
2020-06-10,9.780000,9.780000,9.678000,9.690000,9.690000,6300
2020-06-11,9.770000,9.770000,9.690000,9.690000,9.690000,1500
2020-06-12,9.700000,9.730000,9.630000,9.630000,9.630000,3100
2020-06-15,9.610000,9.720000,9.610000,9.650000,9.650000,11800
2020-06-16,9.700000,9.700000,9.650000,9.650000,9.650000,12600
2020-06-17,9.700000,9.950000,9.630000,9.650000,9.650000,36700
2020-06-18,9.720000,9.720000,9.661000,9.680000,9.680000,3200
2020-06-19,9.680000,9.680000,9.680000,9.680000,9.680000,0
2020-06-22,9.750000,9.750000,9.690000,9.690000,9.690000,3100
2020-06-23,9.690000,9.810000,9.690000,9.750000,9.750000,352400
2020-06-24,9.840000,9.840000,9.800000,9.800000,9.800000,1500
2020-06-25,9.900000,9.900000,9.770000,9.800000,9.800000,5100
2020-06-26,9.900000,9.900000,9.750000,9.810000,9.810000,6800
2020-06-29,9.820000,9.880000,9.770000,9.770000,9.770000,126000
2020-06-30,9.860000,9.860000,9.750000,9.800000,9.800000,247300
2020-07-01,9.760000,9.770000,9.750000,9.750000,9.750000,9400
2020-07-02,9.810000,9.850000,9.790000,9.820000,9.820000,5500
2020-07-06,9.850000,9.850000,9.770000,9.770000,9.770000,45900
2020-07-07,9.770000,9.840000,9.770000,9.840000,9.840000,10900
2020-07-08,9.840000,9.840000,9.840000,9.840000,9.840000,0
2020-07-09,9.840000,9.840000,9.840000,9.840000,9.840000,1200
2020-07-10,9.850000,9.850000,9.800000,9.820000,9.820000,38000
