Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,9.700000,9.700000,9.700000,9.700000,9.700000,5000
2019-05-15,9.680000,9.680000,9.680000,9.680000,9.680000,50000
2019-05-16,9.680000,9.680000,9.680000,9.680000,9.680000,0
2019-05-17,9.680000,9.680000,9.680000,9.680000,9.680000,50000
2019-05-20,9.680000,9.680000,9.680000,9.680000,9.680000,0
2019-05-21,9.680000,9.680000,9.680000,9.680000,9.680000,0
2019-05-22,9.680000,9.680000,9.680000,9.680000,9.680000,0
2019-05-23,9.700000,9.700000,9.700000,9.700000,9.700000,20000
2019-05-24,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-05-28,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-05-29,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-05-30,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-05-31,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-06-03,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-06-04,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-06-05,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-06-06,9.700000,9.700000,9.700000,9.700000,9.700000,55000
2019-06-07,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-06-10,9.700000,9.700000,9.700000,9.700000,9.700000,100000
2019-06-11,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-06-12,9.710000,9.710000,9.710000,9.710000,9.710000,602600
2019-06-13,9.710000,9.710000,9.710000,9.710000,9.710000,0
2019-06-14,9.730000,9.730000,9.708000,9.710000,9.710000,17700
2019-06-17,9.710000,9.710000,9.710000,9.710000,9.710000,1500
2019-06-18,9.710000,9.750000,9.710000,9.710000,9.710000,514400
2019-06-19,9.740000,9.740000,9.700000,9.700000,9.700000,57400
2019-06-20,9.710000,9.740000,9.710000,9.720000,9.720000,1436700
2019-06-21,9.720000,9.720000,9.720000,9.720000,9.720000,0
2019-06-24,9.730000,9.730000,9.721000,9.727000,9.727000,3400
2019-06-25,9.730000,9.730000,9.730000,9.730000,9.730000,205200
2019-06-26,9.750000,9.750000,9.750000,9.750000,9.750000,2000
2019-06-27,9.750000,9.750000,9.750000,9.750000,9.750000,8000
2019-06-28,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-07-01,9.740000,9.790000,9.740000,9.790000,9.790000,5600
2019-07-02,9.780000,9.780000,9.740000,9.740000,9.740000,1500
2019-07-03,9.740000,9.740000,9.740000,9.740000,9.740000,22700
2019-07-05,9.800000,9.800000,9.800000,9.800000,9.800000,1100
2019-07-08,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-07-09,9.740000,9.800000,9.740000,9.800000,9.800000,43500
2019-07-10,9.800000,9.800000,9.800000,9.800000,9.800000,100
2019-07-11,9.770000,9.770000,9.770000,9.770000,9.770000,1000
2019-07-12,9.770000,9.770000,9.770000,9.770000,9.770000,0
2019-07-15,9.750000,9.800000,9.750000,9.800000,9.800000,21000
2019-07-16,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-07-17,9.740000,9.800000,9.730000,9.800000,9.800000,5300
2019-07-18,9.800000,9.810000,9.750000,9.800000,9.800000,149100
2019-07-19,9.800000,9.800000,9.800000,9.800000,9.800000,1000
2019-07-22,9.750000,9.800000,9.750000,9.795000,9.795000,4900
2019-07-23,9.795000,9.795000,9.795000,9.795000,9.795000,0
2019-07-24,9.770000,9.810000,9.770000,9.810000,9.810000,2800
2019-07-25,9.810000,9.810000,9.780000,9.780000,9.780000,105600
2019-07-26,9.780000,9.780000,9.780000,9.780000,9.780000,0
2019-07-29,9.810000,9.810000,9.790000,9.790000,9.790000,5200
2019-07-30,9.810000,9.810000,9.790000,9.790000,9.790000,5200
2019-07-31,9.810000,9.810000,9.790000,9.790000,9.790000,5200
2019-08-01,9.765000,9.820000,9.765000,9.820000,9.820000,100100
2019-08-02,9.820000,9.820000,9.820000,9.820000,9.820000,0
2019-08-05,9.640000,9.820000,9.640000,9.820000,9.820000,106800
2019-08-06,9.830000,9.830000,9.830000,9.830000,9.830000,2900
2019-08-07,9.830000,9.830000,9.830000,9.830000,9.830000,100
2019-08-08,9.830000,9.830000,9.830000,9.830000,9.830000,100
2019-08-09,9.830000,9.830000,9.830000,9.830000,9.830000,7700
2019-08-12,9.830000,9.830000,9.830000,9.830000,9.830000,15000
2019-08-13,9.830000,9.830000,9.830000,9.830000,9.830000,100
2019-08-14,9.830000,9.830000,9.830000,9.830000,9.830000,130500
2019-08-15,9.830000,9.830000,9.830000,9.830000,9.830000,100
2019-08-16,9.760000,9.801000,9.760000,9.801000,9.801000,202100
2019-08-19,9.801000,9.801000,9.801000,9.801000,9.801000,0
2019-08-20,9.795000,9.830000,9.795000,9.820000,9.820000,428500
2019-08-21,9.830000,9.830000,9.830000,9.830000,9.830000,500
2019-08-22,9.850000,9.850000,9.850000,9.850000,9.850000,200
2019-08-23,9.850000,9.850000,9.840000,9.850000,9.850000,1800
2019-08-26,9.850000,9.900000,9.850000,9.880000,9.880000,203200
2019-08-27,9.830000,9.880000,9.830000,9.880000,9.880000,4700
2019-08-28,9.880000,9.880000,9.880000,9.880000,9.880000,55000
2019-08-29,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-08-30,9.880000,9.880000,9.880000,9.880000,9.880000,23800
2019-09-03,9.870000,9.870000,9.870000,9.870000,9.870000,108600
2019-09-04,9.870000,9.870000,9.870000,9.870000,9.870000,0
2019-09-05,9.870000,9.870000,9.870000,9.870000,9.870000,0
2019-09-06,9.870000,9.870000,9.870000,9.870000,9.870000,0
2019-09-09,9.860000,9.860000,9.850000,9.850000,9.850000,24000
2019-09-10,9.830000,9.900000,9.830000,9.900000,9.900000,909300
2019-09-11,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-09-12,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-09-13,9.900000,9.900000,9.900000,9.900000,9.900000,400
2019-09-16,9.900000,9.900000,9.900000,9.900000,9.900000,1200
2019-09-17,9.850000,9.875000,9.850000,9.875000,9.875000,5600
2019-09-18,9.875000,9.875000,9.875000,9.875000,9.875000,100
2019-09-19,9.875000,9.875000,9.875000,9.875000,9.875000,100
2019-09-20,9.875000,9.875000,9.875000,9.875000,9.875000,100
2019-09-23,9.854000,9.855000,9.854000,9.855000,9.855000,50200
2019-09-24,9.850000,9.850000,9.850000,9.850000,9.850000,5000
2019-09-25,9.900000,9.900000,9.870000,9.870000,9.870000,6000
2019-09-26,9.870000,9.870000,9.870000,9.870000,9.870000,100
2019-09-27,9.910000,9.910000,9.910000,9.910000,9.910000,5000
2019-09-30,9.900000,9.900000,9.850000,9.850000,9.850000,1200
2019-10-01,9.900000,9.900000,9.900000,9.900000,9.900000,5100
2019-10-02,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-10-03,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-10-04,9.900000,9.900000,9.800000,9.900000,9.900000,1700
2019-10-07,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-10-08,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-10-09,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-10-10,9.850000,9.850000,9.850000,9.850000,9.850000,100000
2019-10-11,9.840000,9.840000,9.840000,9.840000,9.840000,150000
2019-10-14,9.890000,9.900000,9.890000,9.900000,9.900000,5000
2019-10-15,9.900000,9.900000,9.900000,9.900000,9.900000,200
2019-10-16,9.900000,9.900000,9.900000,9.900000,9.900000,0
2019-10-17,9.850000,9.850000,9.850000,9.850000,9.850000,1800
2019-10-18,9.900000,9.910000,9.900000,9.900000,9.900000,5000
2019-10-21,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-10-22,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-10-23,9.900000,9.900000,9.900000,9.900000,9.900000,100
2019-10-24,9.900000,9.900000,9.830000,9.830000,9.830000,500700
2019-10-25,9.890000,9.900000,9.890000,9.890000,9.890000,5100
2019-10-28,9.850000,9.860000,9.850000,9.860000,9.860000,700100
2019-10-29,9.900000,9.900000,9.900000,9.900000,9.900000,200
