Date,Open,High,Low,Close,Adj Close,Volume
2018-10-02,9.600000,9.630000,9.600000,9.600000,9.600000,62600
2018-10-03,9.610000,9.610000,9.600000,9.600000,9.600000,529200
2018-10-04,9.600000,9.600000,9.600000,9.600000,9.600000,0
2018-10-05,9.630000,9.630000,9.630000,9.630000,9.630000,2000
2018-10-08,9.630000,9.630000,9.630000,9.630000,9.630000,0
2018-10-09,9.630000,9.630000,9.630000,9.630000,9.630000,0
2018-10-10,9.630000,9.630000,9.630000,9.630000,9.630000,0
2018-10-11,9.590000,9.630000,9.580000,9.630000,9.630000,2100
2018-10-12,9.580000,9.690000,9.580000,9.650000,9.650000,212400
2018-10-15,9.640000,9.650000,9.630000,9.650000,9.650000,2100
2018-10-16,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-17,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-18,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-19,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-22,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-23,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-24,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-25,9.630000,9.650000,9.600000,9.650000,9.650000,1600
2018-10-26,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-29,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-30,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-10-31,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-11-01,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-11-02,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-11-05,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-11-06,9.650000,9.650000,9.650000,9.650000,9.650000,100
2018-11-07,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-11-08,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-11-09,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-11-12,9.640000,9.640000,9.640000,9.640000,9.640000,74200
2018-11-13,9.600000,9.660000,9.600000,9.650000,9.650000,167500
2018-11-14,9.650000,9.650000,9.650000,9.650000,9.650000,0
2018-11-15,10.000000,10.000000,9.650000,9.670000,9.670000,83100
2018-11-16,9.700000,9.700000,9.660000,9.660000,9.660000,600
2018-11-19,9.700000,9.730000,9.650000,9.650000,9.650000,700
2018-11-20,9.700000,9.720000,9.610000,9.670000,9.670000,141200
2018-11-21,9.670000,9.670000,9.670000,9.670000,9.670000,0
2018-11-23,9.650000,9.670000,9.630000,9.630000,9.630000,507800
2018-11-26,9.670000,9.670000,9.600000,9.620000,9.620000,252700
2018-11-27,9.630000,9.630000,9.590000,9.630000,9.630000,187700
2018-11-28,9.620000,9.620000,9.620000,9.620000,9.620000,2300
2018-11-29,9.600000,9.630000,9.600000,9.600000,9.600000,595000
