Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,8.100000,8.208000,5.630000,6.010000,6.010000,119000
2020-11-24,6.190000,6.477000,5.750000,5.930000,5.930000,120800
2020-11-25,6.290000,6.290000,5.620000,5.620000,5.620000,99400
2020-11-27,6.130000,6.130000,5.721000,5.840000,5.840000,101200
2020-11-30,6.180000,6.180000,5.730000,5.860000,5.860000,118300
2020-12-01,6.000000,6.000000,5.750000,5.750000,5.750000,106000
2020-12-02,5.910000,6.426000,5.910000,6.340000,6.340000,259500
2020-12-03,6.110000,6.350000,5.800000,5.920000,5.920000,125700
2020-12-04,6.010000,6.220000,5.930000,6.200000,6.200000,48100
2020-12-07,6.250000,6.400000,5.840000,5.950000,5.950000,230900
2020-12-08,5.850000,6.000000,5.690000,5.900000,5.900000,92500
2020-12-09,5.920000,5.920000,5.760000,5.845000,5.845000,60600
2020-12-10,5.860000,5.910000,5.840000,5.850000,5.850000,16600
2020-12-11,5.830000,6.120000,5.550000,5.693000,5.693000,105300
2020-12-14,5.700000,5.714000,5.160000,5.160000,5.160000,170900
2020-12-15,5.220000,5.290000,4.900000,5.000000,5.000000,90800
2020-12-16,5.000000,5.080000,4.940000,4.940000,4.940000,232000
2020-12-17,4.940000,4.995000,4.820000,4.820000,4.820000,200200
2020-12-18,4.940000,4.940000,4.720000,4.720000,4.720000,144100
2020-12-21,4.900000,5.088000,4.800000,4.870000,4.870000,273500
2020-12-22,5.390000,5.390000,5.050000,5.180000,5.180000,205900
2020-12-23,5.350000,6.020000,5.220000,5.890000,5.890000,434900
2020-12-24,6.110000,10.820000,5.985000,8.300000,8.300000,5264000
2020-12-28,7.780000,8.230000,7.100000,7.240000,7.240000,803200
2020-12-29,7.080000,7.080000,6.250000,6.280000,6.280000,304300
2020-12-30,6.270000,6.300000,5.750000,5.750000,5.750000,264700
2020-12-31,5.950000,6.710000,5.850000,6.360000,6.360000,318600
2021-01-04,6.320000,6.670000,6.320000,6.590000,6.590000,189300
2021-01-05,6.600000,6.890000,6.600000,6.800000,6.800000,258700
2021-01-06,6.830000,6.980000,6.750000,6.790000,6.790000,140300
2021-01-07,6.970000,6.970000,6.350000,6.710000,6.710000,209900
2021-01-08,6.760000,7.070000,6.760000,6.974000,6.974000,69900
2021-01-11,7.000000,7.130000,6.900000,6.910000,6.910000,54000
2021-01-12,6.840000,7.190000,6.700000,6.890000,6.890000,89600
2021-01-13,6.900000,6.990000,6.210000,6.850000,6.850000,505000
2021-01-14,6.830000,7.430000,6.740000,6.920000,6.920000,245400
2021-01-15,6.860000,7.000000,6.558000,6.980000,6.980000,95300
2021-01-19,6.970000,7.180000,6.970000,7.000000,7.000000,98100
2021-01-20,7.030000,7.080000,6.970000,7.000000,7.000000,75200
2021-01-21,7.080000,7.200000,7.080000,7.200000,7.200000,102800
2021-01-22,7.090000,7.360000,7.090000,7.170000,7.170000,63400
2021-01-25,7.280000,7.600000,7.240000,7.490000,7.490000,112500
2021-01-26,7.600000,8.490000,7.500000,7.600000,7.600000,253300
2021-01-27,7.710000,7.800000,7.548000,7.690000,7.690000,138700
2021-01-28,7.790000,7.800000,7.130000,7.180000,7.180000,28400
