Date,Open,High,Low,Close,Adj Close,Volume
2019-01-25,9.830000,9.830000,9.650000,9.650000,9.650000,205600
2019-01-28,9.670000,9.680000,9.670000,9.670000,9.670000,186800
2019-01-29,9.670000,9.670000,9.660000,9.660000,9.660000,20300
2019-01-30,9.680000,9.680000,9.660000,9.670000,9.670000,325500
2019-01-31,9.680000,9.680000,9.670000,9.670000,9.670000,24800
2019-02-01,9.670000,9.670000,9.670000,9.670000,9.670000,40000
2019-02-04,9.670000,9.670000,9.670000,9.670000,9.670000,0
2019-02-05,9.670000,10.760000,9.630000,9.650000,9.650000,307300
2019-02-06,9.680000,9.680000,9.650000,9.650000,9.650000,30400
2019-02-07,9.680000,9.770000,9.660000,9.680000,9.680000,205600
2019-02-08,9.680000,9.690000,9.680000,9.690000,9.690000,10100
2019-02-11,9.890000,9.890000,9.670000,9.670000,9.670000,500
2019-02-12,9.670000,9.670000,9.670000,9.670000,9.670000,2000
2019-02-13,10.425000,10.425000,9.660000,9.660000,9.660000,800
2019-02-14,9.670000,9.715000,9.670000,9.690000,9.690000,101700
2019-02-15,9.680000,9.700000,9.680000,9.700000,9.700000,700
2019-02-19,9.680000,9.690000,9.680000,9.690000,9.690000,50300
2019-02-20,9.687000,9.990000,9.680000,9.710000,9.710000,110000
2019-02-21,9.720000,9.720000,9.680000,9.700000,9.700000,3500
2019-02-22,10.190000,10.190000,9.880000,9.880000,9.880000,700
2019-02-25,9.680000,9.890000,9.680000,9.700000,9.700000,58500
2019-02-26,9.700000,9.700000,9.700000,9.700000,9.700000,500
2019-02-27,9.710000,9.890000,9.690000,9.690000,9.690000,84000
2019-02-28,9.800000,9.800000,9.690000,9.700000,9.700000,7900
2019-03-01,9.700000,9.700000,9.700000,9.700000,9.700000,0
2019-03-04,9.700000,9.700000,9.690000,9.690000,9.690000,700
2019-03-05,9.720000,9.720000,9.690000,9.690000,9.690000,900
2019-03-06,9.690000,9.690000,9.690000,9.690000,9.690000,0
2019-03-07,9.690000,9.690000,9.670000,9.670000,9.670000,14100
2019-03-08,9.700000,9.705000,9.700000,9.700000,9.700000,10300
2019-03-11,9.700000,9.700000,9.700000,9.700000,9.700000,100
2019-03-12,9.650000,9.890000,9.650000,9.700000,9.700000,21100
2019-03-13,9.790000,9.790000,9.790000,9.790000,9.790000,100
2019-03-14,9.700000,9.700000,9.680000,9.680000,9.680000,21200
2019-03-15,9.800000,9.800000,9.700000,9.710000,9.710000,241200
2019-03-18,9.758000,9.758000,9.758000,9.758000,9.758000,100
2019-03-19,9.766000,9.766000,9.700000,9.700000,9.700000,1100
2019-03-20,9.730000,9.740000,9.730000,9.740000,9.740000,1800
2019-03-21,9.740000,9.740000,9.740000,9.740000,9.740000,0
2019-03-22,9.740000,9.740000,9.740000,9.740000,9.740000,100
2019-03-25,10.200000,10.200000,10.200000,10.200000,10.200000,200
2019-03-26,9.720000,9.766000,9.720000,9.740000,9.740000,4600
2019-03-27,9.770000,9.770000,9.740000,9.740000,9.740000,400
2019-03-28,9.740000,9.740000,9.740000,9.740000,9.740000,0
2019-03-29,9.750000,9.750000,9.750000,9.750000,9.750000,4600
2019-04-01,9.770000,9.960000,9.750000,9.770000,9.770000,253600
2019-04-02,9.800000,9.800000,9.790000,9.790000,9.790000,700
2019-04-03,9.830000,9.830000,9.830000,9.830000,9.830000,650100
2019-04-04,9.820000,9.820000,9.810000,9.810000,9.810000,21300
2019-04-05,9.820000,9.820000,9.820000,9.820000,9.820000,6100
2019-04-08,9.840000,9.840000,9.810000,9.820000,9.820000,5300
2019-04-09,9.820000,9.820000,9.820000,9.820000,9.820000,100
2019-04-10,9.820000,9.820000,9.820000,9.820000,9.820000,100
2019-04-11,9.750000,9.760000,9.750000,9.760000,9.760000,400
2019-04-12,9.760000,9.760000,9.760000,9.760000,9.760000,0
2019-04-15,9.830000,9.830000,9.790000,9.810000,9.810000,1100
2019-04-16,9.840000,9.840000,9.800000,9.800000,9.800000,1600
2019-04-17,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-04-18,9.800000,9.800000,9.800000,9.800000,9.800000,100
2019-04-22,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-04-23,9.830000,9.830000,9.830000,9.830000,9.830000,2400
2019-04-24,9.834000,9.840000,9.834000,9.840000,9.840000,1200
2019-04-25,9.840000,9.840000,9.830000,9.830000,9.830000,10200
2019-04-26,9.830000,9.830000,9.830000,9.830000,9.830000,100
2019-04-29,9.830000,9.830000,9.830000,9.830000,9.830000,100
2019-04-30,9.838000,9.838000,9.838000,9.838000,9.838000,300
2019-05-01,9.830000,9.840000,9.800000,9.800000,9.800000,11500
2019-05-02,9.840000,9.840000,9.840000,9.840000,9.840000,1000
2019-05-03,9.800000,9.840000,9.800000,9.800000,9.800000,15700
2019-05-06,9.820000,9.820000,9.800000,9.800000,9.800000,5300
2019-05-07,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-05-08,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-05-09,9.840000,9.840000,9.840000,9.840000,9.840000,12600
2019-05-10,9.840000,9.840000,9.747000,9.780000,9.780000,12700
2019-05-13,9.840000,9.840000,9.790000,9.790000,9.790000,2700
2019-05-14,9.779000,9.779000,9.750000,9.750000,9.750000,2400
2019-05-15,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-05-16,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-05-17,9.780000,9.800000,9.770000,9.780000,9.780000,125500
2019-05-20,9.780000,9.780000,9.780000,9.780000,9.780000,100
2019-05-21,9.780000,9.780000,9.780000,9.780000,9.780000,0
2019-05-22,9.780000,9.780000,9.780000,9.780000,9.780000,0
2019-05-23,9.780000,9.780000,9.780000,9.780000,9.780000,0
2019-05-24,9.840000,9.840000,9.820000,9.820000,9.820000,27500
2019-05-28,9.820000,9.820000,9.820000,9.820000,9.820000,100
2019-05-29,9.850000,9.850000,9.840000,9.840000,9.840000,1300
2019-05-30,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-05-31,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-06-03,9.850000,9.850000,9.830000,9.830000,9.830000,1800
2019-06-04,9.830000,9.830000,9.830000,9.830000,9.830000,0
2019-06-05,9.850000,9.855000,9.850000,9.855000,9.855000,3200
2019-06-06,9.875000,9.875000,9.875000,9.875000,9.875000,247700
2019-06-07,9.870000,9.880000,9.870000,9.880000,9.880000,32900
2019-06-10,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-06-11,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-06-12,9.916000,9.916000,9.916000,9.916000,9.916000,500
2019-06-13,9.916000,9.916000,9.916000,9.916000,9.916000,100
2019-06-14,9.910000,9.910000,9.910000,9.910000,9.910000,200
2019-06-17,9.910000,9.910000,9.910000,9.910000,9.910000,0
2019-06-18,9.910000,9.910000,9.910000,9.910000,9.910000,0
2019-06-19,9.910000,9.910000,9.910000,9.910000,9.910000,2700
2019-06-20,9.910000,9.910000,9.910000,9.910000,9.910000,100
2019-06-21,9.926000,9.990000,9.860000,9.990000,9.990000,11100
2019-06-24,9.860000,9.860000,9.860000,9.860000,9.860000,200
2019-06-25,9.990000,9.990000,9.990000,9.990000,9.990000,500
2019-06-26,9.980000,9.990000,9.950000,9.950000,9.950000,7700
2019-06-27,9.950000,9.950000,9.950000,9.950000,9.950000,0
2019-06-28,9.980000,9.990000,9.810000,9.810000,9.810000,8800
2019-07-01,9.810000,9.810000,9.810000,9.810000,9.810000,0
