Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,9.750000,9.800000,9.630000,9.630000,9.577568,100700
2018-11-27,9.630000,9.630000,9.630000,9.630000,9.577568,0
2018-11-28,9.630000,9.630000,9.630000,9.630000,9.577568,100
2018-11-29,9.630000,9.630000,9.630000,9.630000,9.577568,800
2018-11-30,9.600000,9.630000,9.600000,9.630000,9.577568,590200
2018-12-03,9.630000,9.630000,9.630000,9.630000,9.577568,1200
2018-12-04,9.600000,9.705000,9.600000,9.630000,9.577568,120200
2018-12-06,9.750000,9.880000,9.610000,9.630000,9.577568,279400
2018-12-07,9.630000,9.630000,9.630000,9.630000,9.577568,800
2018-12-10,9.620000,9.630000,9.600000,9.630000,9.577568,206400
2018-12-11,9.640000,9.640000,9.630000,9.630000,9.577568,1000
2018-12-12,9.750000,9.750000,9.750000,9.750000,9.696914,200
2018-12-13,9.630000,9.630000,9.630000,9.630000,9.577568,451400
2018-12-14,9.640000,9.690000,9.640000,9.650000,9.597458,13800
2018-12-17,9.570000,9.650000,9.570000,9.600000,9.547731,599700
2018-12-18,9.660000,9.660000,9.570000,9.570000,9.517895,5200
2018-12-19,9.570000,9.570000,9.550000,9.550000,9.498004,9800
2018-12-20,9.550000,9.550000,9.550000,9.550000,9.498004,0
2018-12-21,9.640000,9.650000,9.630000,9.640000,9.587513,100400
2018-12-24,9.640000,9.640000,9.640000,9.640000,9.587513,400
2018-12-26,9.640000,9.640000,9.640000,9.640000,9.587513,100
2018-12-27,9.650000,9.650000,9.650000,9.650000,9.597458,800
2018-12-28,9.600000,9.650000,9.600000,9.650000,9.597458,500
2018-12-31,9.650000,9.650000,9.650000,9.650000,9.597458,0
2019-01-02,9.650000,9.650000,9.640000,9.650000,9.597458,500
2019-01-03,9.630000,9.630000,9.630000,9.630000,9.577568,1700
2019-01-04,9.640000,9.640000,9.640000,9.640000,9.587513,1500
2019-01-07,9.640000,9.640000,9.640000,9.640000,9.587513,1000
2019-01-08,9.630000,9.630000,9.630000,9.630000,9.577568,186600
2019-01-09,9.630000,9.630000,9.630000,9.630000,9.577568,0
2019-01-10,9.713000,9.713000,9.713000,9.713000,9.660116,100
2019-01-11,9.710000,9.710000,9.700000,9.700000,9.647186,600
2019-01-14,9.700000,9.700000,9.700000,9.700000,9.647186,0
2019-01-15,9.700000,9.700000,9.700000,9.700000,9.647186,100
2019-01-16,9.710000,9.710000,9.630000,9.630000,9.577568,200
2019-01-17,9.700000,9.700000,9.700000,9.700000,9.647186,150000
2019-01-18,9.730000,9.780000,9.730000,9.750000,9.696914,78200
2019-01-22,9.770000,9.794000,9.770000,9.794000,9.740674,100100
2019-01-23,9.799000,9.800000,9.780000,9.780000,9.726751,2000
2019-01-24,9.770000,9.770000,9.700000,9.700000,9.647186,1000
2019-01-25,9.700000,9.700000,9.700000,9.700000,9.647186,0
2019-01-28,9.776000,9.776000,9.770000,9.770000,9.716805,600
2019-01-29,9.770000,9.770000,9.770000,9.770000,9.716805,0
2019-01-30,9.770000,9.770000,9.770000,9.770000,9.716805,0
2019-01-31,9.770000,9.770000,9.770000,9.770000,9.716805,0
