Date,Open,High,Low,Close,Adj Close,Volume
2018-10-26,9.550000,9.550000,9.500000,9.520000,9.520000,202100
2018-10-29,9.510000,9.510000,9.510000,9.510000,9.510000,500000
2018-10-30,9.520000,9.540000,9.510000,9.510000,9.510000,974000
2018-10-31,9.510000,9.510000,9.510000,9.510000,9.510000,483900
2018-11-01,9.520000,9.520000,9.510000,9.510000,9.510000,36500
2018-11-02,9.510000,9.510000,9.510000,9.510000,9.510000,0
2018-11-05,9.540000,9.540000,9.530000,9.530000,9.530000,250300
2018-11-06,9.530000,9.540000,9.530000,9.540000,9.540000,151500
2018-11-07,9.550000,9.550000,9.540000,9.540000,9.540000,500
2018-11-08,9.550000,9.550000,9.530000,9.530000,9.530000,381700
2018-11-09,9.550000,9.550000,9.530000,9.550000,9.550000,48200
2018-11-12,9.550000,9.550000,9.550000,9.550000,9.550000,100
2018-11-13,9.540000,9.540000,9.530000,9.530000,9.530000,1500
2018-11-14,9.530000,9.530000,9.530000,9.530000,9.530000,1700
2018-11-15,9.540000,9.600000,9.540000,9.600000,9.600000,6500
2018-11-16,9.750000,9.750000,9.530000,9.540000,9.540000,420400
2018-11-19,9.540000,9.540000,9.540000,9.540000,9.540000,0
2018-11-20,9.550000,9.560000,9.530000,9.530000,9.530000,330000
2018-11-21,9.530000,9.530000,9.530000,9.530000,9.530000,0
2018-11-23,9.530000,9.530000,9.530000,9.530000,9.530000,0
2018-11-26,9.530000,9.550000,9.530000,9.550000,9.550000,15100
2018-11-27,9.550000,9.550000,9.550000,9.550000,9.550000,400
2018-11-28,9.550000,9.550000,9.550000,9.550000,9.550000,25700
2018-11-29,9.550000,9.610000,9.550000,9.610000,9.610000,265300
2018-11-30,9.620000,9.620000,9.550000,9.550000,9.550000,90900
2018-12-03,9.550000,9.550000,9.550000,9.550000,9.550000,0
2018-12-04,9.600000,9.600000,9.590000,9.590000,9.590000,40900
2018-12-06,9.620000,9.660000,9.580000,9.620000,9.620000,5000
2018-12-07,9.610000,9.610000,9.600000,9.600000,9.600000,700
2018-12-10,9.640000,9.640000,9.640000,9.640000,9.640000,8300
2018-12-11,9.640000,9.640000,9.600000,9.600000,9.600000,1100
2018-12-12,9.590000,9.590000,9.560000,9.560000,9.560000,800
2018-12-13,9.590000,9.590000,9.560000,9.560000,9.560000,1400
2018-12-14,9.560000,9.560000,9.560000,9.560000,9.560000,0
2018-12-17,9.590000,9.590000,9.560000,9.560000,9.560000,2200
2018-12-18,9.610000,9.610000,9.560000,9.560000,9.560000,700
2018-12-19,9.580000,9.580000,9.570000,9.570000,9.570000,11000
2018-12-20,9.560000,9.590000,9.560000,9.590000,9.590000,600
2018-12-21,9.590000,9.590000,9.590000,9.590000,9.590000,900
2018-12-24,9.570000,9.580000,9.570000,9.580000,9.580000,5200
2018-12-26,9.580000,9.610000,9.580000,9.580000,9.580000,108100
2018-12-27,9.580000,9.580000,9.580000,9.580000,9.580000,6500
2018-12-28,9.590000,9.590000,9.580000,9.580000,9.580000,10300
2018-12-31,9.600000,9.600000,9.600000,9.600000,9.600000,600
2019-01-02,9.570000,9.630000,9.570000,9.600000,9.600000,1500
2019-01-03,9.600000,9.600000,9.600000,9.600000,9.600000,0
2019-01-04,9.600000,9.630000,9.600000,9.630000,9.630000,4100
2019-01-07,9.620000,9.630000,9.600000,9.620000,9.620000,6000
2019-01-08,9.640000,9.640000,9.620000,9.620000,9.620000,37500
2019-01-09,9.650000,9.650000,9.650000,9.650000,9.650000,1100
2019-01-10,9.650000,9.660000,9.650000,9.660000,9.660000,1400
2019-01-11,9.660000,9.660000,9.660000,9.660000,9.660000,0
2019-01-14,9.660000,9.700000,9.660000,9.700000,9.700000,18800
2019-01-15,9.690000,9.720000,9.680000,9.680000,9.680000,7600
2019-01-16,9.700000,9.700000,9.680000,9.680000,9.680000,1400
2019-01-17,9.680000,9.680000,9.680000,9.680000,9.680000,0
2019-01-18,9.720000,9.720000,9.720000,9.720000,9.720000,1400
2019-01-22,9.700000,9.750000,9.700000,9.750000,9.750000,9300
2019-01-23,9.740000,9.740000,9.740000,9.740000,9.740000,200
2019-01-24,9.750000,9.750000,9.720000,9.740000,9.740000,207500
2019-01-25,9.750000,9.750000,9.740000,9.750000,9.750000,408700
2019-01-28,9.730000,9.750000,9.720000,9.720000,9.720000,166600
2019-01-29,9.750000,9.750000,9.750000,9.750000,9.750000,177500
2019-01-30,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-01-31,9.740000,9.790000,9.730000,9.750000,9.750000,1833700
2019-02-01,9.800000,9.800000,9.750000,9.750000,9.750000,306900
2019-02-04,9.730000,9.780000,9.730000,9.750000,9.750000,300
2019-02-05,9.750000,9.790000,9.750000,9.790000,9.790000,100100
2019-02-06,9.850000,9.850000,9.750000,9.750000,9.750000,101400
