Date,Open,High,Low,Close,Adj Close,Volume
2018-08-02,9.980000,9.990000,9.980000,9.990000,9.984660,21000
2018-08-03,9.990000,9.990000,9.990000,9.990000,9.984660,0
2018-08-06,10.090000,10.090000,9.950000,9.960000,9.954677,6600
2018-08-07,9.950000,9.950000,9.950000,9.950000,9.944682,500
2018-08-08,9.950000,9.950000,9.950000,9.950000,9.944682,0
2018-08-09,9.900000,9.900000,9.900000,9.900000,9.894709,500
2018-08-10,9.900000,10.360000,9.850000,9.850000,9.844736,4100
2018-08-13,9.850000,9.905000,9.800000,9.810000,9.804757,710800
2018-08-14,10.750000,10.770000,9.800000,9.800000,9.794763,50100
2018-08-15,9.850000,9.880000,9.840000,9.850000,9.844736,524700
2018-08-16,9.850000,9.860000,9.850000,9.860000,9.854730,22900
2018-08-17,9.820000,9.830000,9.800000,9.830000,9.824746,402100
2018-08-20,9.830000,9.830000,9.830000,9.830000,9.824746,0
2018-08-21,9.800000,9.800000,9.800000,9.800000,9.794763,2100
2018-08-22,9.835000,9.835000,9.800000,9.800000,9.794763,24800
2018-08-23,9.810000,9.850000,9.750000,9.810000,9.804757,334300
2018-08-24,9.800000,9.800000,9.800000,9.800000,9.794763,100000
2018-08-27,9.800000,9.800000,9.750000,9.750000,9.744789,2381000
2018-08-28,9.760000,9.760000,9.720000,9.750000,9.744789,685100
2018-08-29,9.797000,9.800000,9.770000,9.800000,9.794763,52600
2018-08-30,9.800000,9.800000,9.800000,9.800000,9.794763,300
2018-08-31,9.750000,9.800000,9.730000,9.730000,9.724799,10600
2018-09-04,9.790000,9.790000,9.790000,9.790000,9.784767,100
2018-09-05,9.750000,9.800000,9.750000,9.800000,9.794763,2100
2018-09-06,9.800000,9.800000,9.800000,9.800000,9.794763,3800
2018-09-07,9.780000,9.780000,9.780000,9.780000,9.774773,4300
2018-09-10,9.750000,9.870000,9.750000,9.870000,9.864724,125100
2018-09-11,9.750000,9.750000,9.740000,9.750000,9.744789,179800
2018-09-12,9.750000,9.800000,9.750000,9.800000,9.794763,483000
2018-09-13,9.800000,9.800000,9.800000,9.800000,9.794763,0
2018-09-14,9.735000,9.800000,9.735000,9.800000,9.794763,600
2018-09-17,9.840000,9.840000,9.750000,9.750000,9.744789,264600
2018-09-18,9.770000,9.770000,9.750000,9.770000,9.764779,7200
2018-09-19,9.780000,9.840000,9.770000,9.780000,9.774773,280800
2018-09-20,9.750000,9.780000,9.730000,9.730000,9.724799,47900
2018-09-21,9.750000,9.770000,9.750000,9.750000,9.744789,74300
2018-09-24,9.780000,9.780000,9.770000,9.770000,9.764779,400
2018-09-25,9.741000,9.770000,9.741000,9.770000,9.764779,47300
2018-09-26,9.750000,9.750000,9.749000,9.749000,9.743789,2300
2018-09-27,9.750000,9.770000,9.750000,9.750000,9.744789,9000
2018-09-28,9.750000,9.770000,9.730000,9.750000,9.744789,65400
2018-10-01,9.749000,9.750000,9.715000,9.750000,9.744789,8200
2018-10-02,9.730000,9.760000,9.720000,9.730000,9.724799,359600
2018-10-03,9.733000,9.733000,9.733000,9.733000,9.727798,800
2018-10-04,9.740000,9.760000,9.720000,9.760000,9.754784,62800
2018-10-05,9.760000,9.760000,9.720000,9.720000,9.714806,41300
2018-10-08,9.720000,9.750000,9.720000,9.750000,9.744789,2000
2018-10-09,9.780000,9.780000,9.720000,9.720000,9.714806,3300
2018-10-10,9.720000,9.740000,9.700000,9.740000,9.734794,391300
2018-10-11,9.740000,9.740000,9.705000,9.740000,9.734794,15900
2018-10-12,9.730000,9.750000,9.730000,9.750000,9.744789,284400
2018-10-15,9.700000,9.750000,9.700000,9.730000,9.724799,6200
2018-10-16,9.750000,9.750000,9.700000,9.740000,9.734794,10100
2018-10-17,9.730000,9.750000,9.730000,9.750000,9.744789,19000
2018-10-18,9.757000,9.760000,9.757000,9.760000,9.754784,400
2018-10-19,9.770000,9.820000,9.740000,9.820000,9.814752,2600
2018-10-22,9.800000,9.800000,9.750000,9.750000,9.744789,4900
2018-10-23,9.760000,9.760000,9.703000,9.760000,9.754784,1300
2018-10-24,9.750000,9.750000,9.700000,9.700000,9.694816,2600
2018-10-25,9.700000,9.760000,9.700000,9.760000,9.754784,700
2018-10-26,9.750000,9.750000,9.700000,9.700000,9.694816,5300
2018-10-29,9.750000,9.750000,9.750000,9.750000,9.744789,1000
2018-10-30,9.767000,9.767000,9.740000,9.740000,9.734794,8900
2018-10-31,9.760000,9.760000,9.710000,9.710000,9.704810,1000
2018-11-01,9.710000,9.710000,9.710000,9.710000,9.704810,100
2018-11-02,9.760000,9.760000,9.710000,9.750000,9.744789,1200
2018-11-05,9.850000,9.850000,9.720000,9.720000,9.714806,13800
2018-11-06,9.770000,9.770000,9.700000,9.770000,9.764779,4100
2018-11-07,9.780000,9.820000,9.700000,9.700000,9.694816,69300
2018-11-08,9.750000,9.850000,9.700000,9.700000,9.694816,279700
2018-11-09,9.700000,9.850000,9.700000,9.840000,9.834741,15300
2018-11-12,9.838000,9.850000,9.830000,9.830000,9.824746,3200
2018-11-13,9.840000,9.840000,9.750000,9.750000,9.744789,500
2018-11-14,9.830000,9.850000,9.800000,9.800000,9.794763,63900
2018-11-15,9.800000,9.850000,9.800000,9.800000,9.794763,1200
2018-11-16,9.850000,9.850000,9.850000,9.850000,9.844736,300
2018-11-19,9.823000,9.840000,9.750000,9.750000,9.744789,119400
